epoch,lambda_h2_epoch,lambda_h2_step,lr-Adam,step,train_h2_h_epoch,train_h2_h_step,train_h2_r_epoch,train_h2_r_step,train_loss_epoch,train_loss_step,train_recon_loss_epoch,train_recon_loss_step,val_h2_total_gcta,val_h2_total_proxy,val_loss,val_recon_loss
,,,0.0005248074602497723,0,,,,,,,,,,,,
0,,0.0,,19,,-0.0,,0.0,,0.37445324659347534,,0.37445324659347534,,,,
0,,0.0,,39,,-0.0,,0.0,,0.3747712969779968,,0.3747712969779968,,,,
0,,0.0,,59,,-0.0,,-0.0,,0.3518880009651184,,0.3518880009651184,,,,
0,,0.0,,79,,-0.0,,-0.0,,0.32422935962677,,0.32422935962677,,,,
0,,0.0,,99,,-0.0,,0.0,,0.3173421025276184,,0.3173421025276184,,,,
0,,0.0,,119,,-0.0,,0.0,,0.3204557001590729,,0.3204557001590729,,,,
0,,0.0,,139,,-0.0,,0.0,,0.31186869740486145,,0.31186869740486145,,,,
0,,0.0,,159,,0.0,,0.0,,0.320946604013443,,0.320946604013443,,,,
0,,0.0,,179,,-0.0,,-0.0,,0.3140070140361786,,0.3140070140361786,,,,
0,,0.0,,199,,-0.0,,0.0,,0.3075631558895111,,0.3075631558895111,,,,
0,,0.0,,219,,-0.0,,-0.0,,0.31411969661712646,,0.31411969661712646,,,,
0,,,,222,,,,,,,,,35.946895599365234,13.379351615905762,0.3068080246448517,0.3068079948425293
0,0.0,,,222,0.0,,0.0,,0.3339831531047821,,0.3339831531047821,,,,,
,,,0.0005248074602497723,223,,,,,,,,,,,,
1,,0.0,,239,,-0.0,,0.0,,0.29116249084472656,,0.29116249084472656,,,,
1,,0.0,,259,,-0.0,,0.0,,0.3154897391796112,,0.3154897391796112,,,,
1,,0.0,,279,,0.0,,0.0,,0.2954072952270508,,0.2954072952270508,,,,
1,,0.0,,299,,0.0,,0.0,,0.28645387291908264,,0.28645387291908264,,,,
1,,0.0,,319,,-0.0,,-0.0,,0.2908936142921448,,0.2908936142921448,,,,
1,,0.0,,339,,-0.0,,-0.0,,0.30473122000694275,,0.30473122000694275,,,,
1,,0.0,,359,,-0.0,,0.0,,0.2996753454208374,,0.2996753454208374,,,,
1,,0.0,,379,,-0.0,,0.0,,0.3136901557445526,,0.3136901557445526,,,,
1,,0.0,,399,,0.0,,-0.0,,0.2996274530887604,,0.2996274530887604,,,,
1,,0.0,,419,,-0.0,,0.0,,0.2923036515712738,,0.2923036515712738,,,,
1,,0.0,,439,,-0.0,,0.0,,0.2989177405834198,,0.2989177405834198,,,,
1,,,,445,,,,,,,,,34.36129379272461,13.689329147338867,0.30458781123161316,0.30458784103393555
1,0.0,,,445,0.0,,0.0,,0.2975635826587677,,0.2975635826587677,,,,,
,,,0.0005248074602497723,446,,,,,,,,,,,,
2,,0.004000000189989805,,459,,11.638652801513672,,11.725674629211426,,0.30589884519577026,,0.305550754070282,,,,
2,,0.004000000189989805,,479,,11.762177467346191,,12.086870193481445,,0.2885027825832367,,0.2872040271759033,,,,
2,,0.004000000189989805,,499,,11.60900592803955,,11.74836254119873,,0.2968703508377075,,0.29631292819976807,,,,
2,,0.004000000189989805,,519,,11.771151542663574,,11.578655242919922,,0.28803303837776184,,0.28880301117897034,,,,
2,,0.004000000189989805,,539,,11.715389251708984,,11.1652250289917,,0.2949170172214508,,0.297117680311203,,,,
2,,0.004000000189989805,,559,,11.275439262390137,,11.584200859069824,,0.2975790500640869,,0.29634401202201843,,,,
2,,0.004000000189989805,,579,,11.50191879272461,,11.843250274658203,,0.2902531623840332,,0.2888878285884857,,,,
2,,0.004000000189989805,,599,,11.900322914123535,,11.89346694946289,,0.28935274481773376,,0.28938016295433044,,,,
2,,0.004000000189989805,,619,,9.88127326965332,,14.471049308776855,,0.3110302686691284,,0.2926711440086365,,,,
2,,0.004000000189989805,,639,,9.778621673583984,,14.421085357666016,,0.3120693266391754,,0.29349949955940247,,,,
2,,0.004000000189989805,,659,,9.82672119140625,,14.482090950012207,,0.3092493712902069,,0.2906278967857361,,,,
2,,,,668,,,,,,,,,34.395687103271484,13.967246055603027,0.24369753897190094,0.2995665371417999
2,0.003999988082796335,,,668,11.108043670654297,,12.556146621704102,,0.2968537509441376,,0.2910614013671875,,,,,
,,,0.0005248074602497723,669,,,,,,,,,,,,
3,,0.00800000037997961,,679,,9.87935733795166,,14.19102668762207,,0.31774815917015076,,0.28325480222702026,,,,
3,,0.00800000037997961,,699,,9.846181869506836,,14.419219970703125,,0.3233411908149719,,0.28675687313079834,,,,
3,,0.00800000037997961,,719,,9.724977493286133,,14.448966979980469,,0.33132705092430115,,0.29353514313697815,,,,
3,,0.00800000037997961,,739,,9.89710521697998,,14.307392120361328,,0.3138015866279602,,0.27851930260658264,,,,
3,,0.00800000037997961,,759,,9.889440536499023,,14.296199798583984,,0.31477469205856323,,0.27952060103416443,,,,
3,,0.00800000037997961,,779,,9.893776893615723,,14.477502822875977,,0.33312931656837463,,0.29645952582359314,,,,
3,,0.00800000037997961,,799,,9.720337867736816,,14.312029838562012,,0.31280991435050964,,0.27607637643814087,,,,
3,,0.00800000037997961,,819,,10.536811828613281,,12.466822624206543,,0.30331650376319885,,0.2878764271736145,,,,
3,,0.00800000037997961,,839,,10.585515975952148,,12.384539604187012,,0.29446035623550415,,0.28006815910339355,,,,
3,,0.00800000037997961,,859,,10.418228149414062,,12.412068367004395,,0.29599469900131226,,0.28004398941993713,,,,
3,,0.00800000037997961,,879,,10.479537010192871,,12.416908264160156,,0.2948421537876129,,0.2793431878089905,,,,
3,,,,891,,,,,,,,,34.40543746948242,14.261269569396973,0.19565226137638092,0.30974242091178894
3,0.00799997616559267,,,891,10.11901569366455,,13.545273780822754,,0.31324151158332825,,0.2858314514160156,,,,,
,,,0.0005248074602497723,892,,,,,,,,,,,,
4,,0.012000000104308128,,899,,10.445453643798828,,12.287888526916504,,0.29308032989501953,,0.2709710896015167,,,,
4,,0.012000000104308128,,919,,10.532979965209961,,12.380860328674316,,0.3006992042064667,,0.27852463722229004,,,,
4,,0.012000000104308128,,939,,10.39453125,,12.275837898254395,,0.32743191719055176,,0.30485621094703674,,,,
4,,0.012000000104308128,,959,,10.505148887634277,,12.362960815429688,,0.3085373342037201,,0.28624358773231506,,,,
4,,0.012000000104308128,,979,,10.586019515991211,,12.315669059753418,,0.3062891662120819,,0.2855333685874939,,,,
4,,0.012000000104308128,,999,,10.623833656311035,,12.353583335876465,,0.30445054173469543,,0.2836935520172119,,,,
4,,0.012000000104308128,,1019,,14.660722732543945,,8.686360359191895,,0.2141629457473755,,0.2858552932739258,,,,
4,,0.012000000104308128,,1039,,14.648118019104004,,8.717317581176758,,0.21108287572860718,,0.2822524905204773,,,,
4,,0.012000000104308128,,1059,,14.683109283447266,,8.790525436401367,,0.21291136741638184,,0.2836223840713501,,,,
4,,0.012000000104308128,,1079,,14.691882133483887,,8.677184104919434,,0.2087107002735138,,0.28088706731796265,,,,
4,,0.012000000104308128,,1099,,14.733426094055176,,8.963561058044434,,0.20778845250606537,,0.27702683210372925,,,,
4,,,,1114,,,,,,,,,34.435340881347656,14.546960830688477,0.12792405486106873,0.3024875521659851
4,0.01199998240917921,,,1114,12.659354209899902,,10.516585350036621,,0.2561224400997162,,0.2818356454372406,,,,,
,,,0.0005248074602497723,1115,,,,,,,,,,,,
5,,0.01600000075995922,,1119,,14.614641189575195,,8.694024085998535,,0.1871679723262787,,0.2818978428840637,,,,
5,,0.01600000075995922,,1139,,14.771844863891602,,8.784978866577148,,0.18032854795455933,,0.2761183977127075,,,,
5,,0.01600000075995922,,1159,,14.636824607849121,,8.28543472290039,,0.17954610288143158,,0.2811683416366577,,,,
5,,0.01600000075995922,,1179,,14.815910339355469,,8.910318374633789,,0.1809946447610855,,0.2754841148853302,,,,
5,,0.01600000075995922,,1199,,14.978055953979492,,8.71701431274414,,0.183247908949852,,0.28342458605766296,,,,
5,,0.01600000075995922,,1219,,18.403472900390625,,4.839144706726074,,0.06081876903772354,,0.2778480350971222,,,,
5,,0.01600000075995922,,1239,,18.45611000061035,,5.009659290313721,,0.06044723093509674,,0.2755904495716095,,,,
5,,0.01600000075995922,,1259,,18.362028121948242,,4.854269981384277,,0.05152998864650726,,0.2676541209220886,,,,
5,,0.01600000075995922,,1279,,18.500476837158203,,4.922234058380127,,0.059431180357933044,,0.2766830623149872,,,,
5,,0.01600000075995922,,1299,,18.41063117980957,,4.760391712188721,,0.07162824273109436,,0.2900320887565613,,,,
5,,0.01600000075995922,,1319,,18.477283477783203,,4.667722702026367,,0.056812576949596405,,0.27776557207107544,,,,
5,,,,1337,,,,,,,,,34.14378356933594,14.460230827331543,0.06672318279743195,0.298086941242218
5,0.01599995233118534,,,1337,17.0076847076416,,6.341528415679932,,0.10842917114496231,,0.2790876626968384,,,,,
,,,0.0005248074602497723,1338,,,,,,,,,,,,
6,,0.019999999552965164,,1339,,18.526594161987305,,4.7849955558776855,,0.011055320501327515,,0.28588730096817017,,,,
6,,0.019999999552965164,,1359,,18.45005989074707,,4.5711212158203125,,-0.007461443543434143,,0.27011731266975403,,,,
6,,0.019999999552965164,,1379,,18.6093807220459,,4.917191982269287,,0.0009875744581222534,,0.2748313546180725,,,,
6,,0.019999999552965164,,1399,,18.341156005859375,,4.699385166168213,,0.009459704160690308,,0.2822951078414917,,,,
6,,0.019999999552965164,,1419,,22.566205978393555,,0.02046981453895569,,-0.1747896373271942,,0.27612507343292236,,,,
6,,0.019999999552965164,,1439,,22.481502532958984,,0.09922313690185547,,-0.1693122833967209,,0.27833330631256104,,,,
6,,0.019999999552965164,,1459,,22.540895462036133,,-0.18564003705978394,,-0.17282691597938538,,0.28170379996299744,,,,
6,,0.019999999552965164,,1479,,22.677932739257812,,-0.14258284866809845,,-0.17672933638095856,,0.2796809673309326,,,,
6,,0.019999999552965164,,1499,,22.57497787475586,,0.015932170674204826,,-0.18376967310905457,,0.2674112319946289,,,,
6,,0.019999999552965164,,1519,,22.674606323242188,,0.02006646804511547,,-0.1695318967103958,,0.2835588753223419,,,,
6,,0.019999999552965164,,1539,,22.5843563079834,,-0.06715712696313858,,-0.17753393948078156,,0.27549633383750916,,,,
6,,0.019999999552965164,,1559,,22.650806427001953,,-0.0881311222910881,,-0.1785961091518402,,0.2761826515197754,,,,
6,,,,1560,,,,,,,,,33.725616455078125,14.212645530700684,0.014629272744059563,0.2988821864128113
6,0.020000023767352104,,,1560,21.459716796875,,1.342153549194336,,-0.12601998448371887,,0.27633124589920044,,,,,
,,,0.0005248074602497723,1561,,,,,,,,,,,,
7,,0.019999999552965164,,1579,,22.76586151123047,,-0.19380779564380646,,-0.1840112805366516,,0.2751820981502533,,,,
7,,0.019999999552965164,,1599,,22.791776657104492,,-0.10517249256372452,,-0.1788969337940216,,0.2790420353412628,,,,
7,,0.019999999552965164,,1619,,28.812423706054688,,-4.87504243850708,,-0.4110039472579956,,0.26274535059928894,,,,
7,,0.019999999552965164,,1639,,28.81383514404297,,-4.992315292358398,,-0.3963489234447479,,0.27977409958839417,,,,
7,,0.019999999552965164,,1659,,28.806476593017578,,-4.885529518127441,,-0.4022253453731537,,0.2716147303581238,,,,
7,,0.019999999552965164,,1679,,28.891578674316406,,-4.907865047454834,,-0.39441365003585815,,0.2815752327442169,,,,
7,,0.019999999552965164,,1699,,28.700899124145508,,-4.854774475097656,,-0.39313530921936035,,0.2779781222343445,,,,
7,,0.019999999552965164,,1719,,28.702207565307617,,-4.918503284454346,,-0.40175867080688477,,0.2706555426120758,,,,
7,,0.019999999552965164,,1739,,28.801027297973633,,-4.679520606994629,,-0.3973686993122101,,0.2722422480583191,,,,
7,,0.019999999552965164,,1759,,28.842573165893555,,-4.764828205108643,,-0.3937821388244629,,0.2783658504486084,,,,
7,,0.019999999552965164,,1779,,28.78620719909668,,-4.872925281524658,,-0.40083062648773193,,0.272352010011673,,,,
7,,,,1783,,,,,,,,,33.264163970947266,14.299272537231445,0.007610212080180645,0.2935956120491028
7,0.020000023767352104,,,1783,27.69820785522461,,-4.0835041999816895,,-0.36247578263282776,,0.27315858006477356,,,,,
,,,0.0005248074602497723,1784,,,,,,,,,,,,
